Date,Closing Price,Pair
3/26/03,0.6789,EUR_GBP
3/27/03,0.6833,EUR_GBP
3/28/03,0.6854,EUR_GBP
3/31/03,0.6902,EUR_GBP
4/01/03,0.6913,EUR_GBP
4/02/03,0.6871,EUR_GBP
4/03/03,0.6844,EUR_GBP
4/04/03,0.6875,EUR_GBP
4/07/03,0.6879,EUR_GBP
4/08/03,0.6892,EUR_GBP
4/09/03,0.6892,EUR_GBP
4/10/03,0.6861,EUR_GBP
4/11/03,0.684,EUR_GBP
4/14/03,0.6846,EUR_GBP
4/15/03,0.6877,EUR_GBP
4/16/03,0.6905,EUR_GBP
4/17/03,0.6924,EUR_GBP
4/18/03,0.6924,EUR_GBP
4/21/03,0.6959,EUR_GBP
4/22/03,0.6954,EUR_GBP
4/23/03,0.691,EUR_GBP
4/24/03,0.6924,EUR_GBP
4/25/03,0.6934,EUR_GBP
4/28/03,0.6915,EUR_GBP
4/29/03,0.6946,EUR_GBP
4/30/03,0.6997,EUR_GBP
5/01/03,0.6971,EUR_GBP
5/02/03,0.7005,EUR_GBP
5/05/03,0.7029,EUR_GBP
5/06/03,0.708,EUR_GBP
5/07/03,0.7113,EUR_GBP
5/08/03,0.717,EUR_GBP
5/09/03,0.7156,EUR_GBP
5/12/03,0.7181,EUR_GBP
5/13/03,0.7162,EUR_GBP
5/14/03,0.7099,EUR_GBP
5/15/03,0.702,EUR_GBP
5/16/03,0.7148,EUR_GBP
5/19/03,0.7138,EUR_GBP
5/20/03,0.7138,EUR_GBP
5/21/03,0.7124,EUR_GBP
5/22/03,0.7158,EUR_GBP
5/23/03,0.7237,EUR_GBP
5/26/03,0.7251,EUR_GBP
5/27/03,0.7211,EUR_GBP
5/28/03,0.7174,EUR_GBP
5/29/03,0.7193,EUR_GBP
5/30/03,0.7204,EUR_GBP
6/02/03,0.7185,EUR_GBP
6/03/03,0.7201,EUR_GBP
6/04/03,0.7141,EUR_GBP
6/05/03,0.7133,EUR_GBP
6/06/03,0.7038,EUR_GBP
6/09/03,0.712,EUR_GBP
6/10/03,0.7067,EUR_GBP
6/11/03,0.7054,EUR_GBP
6/12/03,0.7052,EUR_GBP
6/13/03,0.7095,EUR_GBP
6/16/03,0.7051,EUR_GBP
6/17/03,0.6992,EUR_GBP
6/18/03,0.6968,EUR_GBP
6/19/03,0.698,EUR_GBP
6/20/03,0.6976,EUR_GBP
6/23/03,0.6931,EUR_GBP
6/24/03,0.6922,EUR_GBP
6/25/03,0.6894,EUR_GBP
6/26/03,0.688,EUR_GBP
6/27/03,0.6932,EUR_GBP
6/30/03,0.6957,EUR_GBP
7/01/03,0.6955,EUR_GBP
7/02/03,0.6925,EUR_GBP
7/03/03,0.689,EUR_GBP
7/04/03,0.6892,EUR_GBP
7/07/03,0.6864,EUR_GBP
7/08/03,0.6923,EUR_GBP
7/09/03,0.6931,EUR_GBP
7/10/03,0.6961,EUR_GBP
7/11/03,0.6921,EUR_GBP
7/14/03,0.6991,EUR_GBP
7/15/03,0.7023,EUR_GBP
7/16/03,0.7029,EUR_GBP
7/17/03,0.7022,EUR_GBP
7/18/03,0.7082,EUR_GBP
7/21/03,0.7086,EUR_GBP
7/22/03,0.7097,EUR_GBP
7/23/03,0.7149,EUR_GBP
7/24/03,0.71,EUR_GBP
7/25/03,0.7107,EUR_GBP
7/28/03,0.7068,EUR_GBP
7/29/03,0.7039,EUR_GBP
7/30/03,0.7029,EUR_GBP
7/31/03,0.6974,EUR_GBP
8/01/03,0.6998,EUR_GBP
8/04/03,0.7045,EUR_GBP
8/05/03,0.7053,EUR_GBP
8/06/03,0.7042,EUR_GBP
8/07/03,0.7033,EUR_GBP
8/08/03,0.7049,EUR_GBP
8/11/03,0.7068,EUR_GBP
8/12/03,0.7039,EUR_GBP
8/13/03,0.7041,EUR_GBP
8/14/03,0.7051,EUR_GBP
8/15/03,0.705,EUR_GBP
8/18/03,0.7007,EUR_GBP
8/19/03,0.7018,EUR_GBP
8/20/03,0.6979,EUR_GBP
8/21/03,0.6922,EUR_GBP
8/22/03,0.6913,EUR_GBP
